Date,Open,High,Low,Close,Adj Close,Volume
01-01-1996,11.172855,11.214964,11.0353,11.186892,2.48711,10242229
02-01-1996,11.172855,11.214964,10.951082,10.979155,2.440924,16954313
03-01-1996,10.979155,11.229,10.951082,10.981962,2.441549,13514114
04-01-1996,10.807913,10.807913,10.386825,10.633863,2.364159,34785820
05-01-1996,10.50473,10.55526,10.316644,10.423319,2.317349,30138033
08-01-1996,10.358753,10.386825,9.94328,10.033112,2.230597,36752157
09-01-1996,9.825375,10.069606,9.825375,9.985388,2.219987,36964108
10-01-1996,9.985388,10.176281,9.825375,9.932051,2.208129,35923053
11-01-1996,9.937665,10.215583,9.903978,10.165052,2.25993,27719296
12-01-1996,10.165052,10.325066,10.063991,10.125751,2.251193,31593194
15-01-1996,10.063991,10.181896,10.019075,10.041533,2.232469,13352034
16-01-1996,10.041533,10.1061,9.94328,10.021883,2.228101,19465667
17-01-1996,9.937665,10.010654,9.628868,9.682205,2.152582,25512510
18-01-1996,9.547457,9.614831,9.32007,9.477276,2.107021,31930712
19-01-1996,9.362179,9.510963,9.32007,9.395866,2.088922,20078367
22-01-1996,9.488505,9.581144,9.390251,9.49412,2.110766,15288982
23-01-1996,9.418324,9.533421,8.9832,9.117948,2.027134,16752158
24-01-1996,9.117948,10.325066,8.842838,8.994429,1.999674,20708877
25-01-1996,8.9832,9.01408,8.744584,8.800729,1.956609,15920383
26-01-1996,8.800729,8.800729,8.800729,8.800729,1.956609,0
29-01-1996,8.705282,9.263925,8.705282,9.202166,2.045858,32353724
30-01-1996,9.376215,9.54465,9.09549,9.280769,2.063334,32019768
31-01-1996,9.32007,9.713085,9.249889,9.373408,2.083929,34765337
01-02-1996,9.294805,9.614831,9.294805,9.583952,2.130738,18475375
02-02-1996,9.783266,10.400861,9.65694,10.282957,2.286144,39733722
05-02-1996,10.723695,11.34129,10.302608,10.684394,2.375392,68921537
06-02-1996,10.751768,10.807913,9.600795,9.780459,2.174427,40024042
07-02-1996,9.780459,10.33068,9.628868,10.165052,2.25993,45350428
08-02-1996,10.21839,11.700618,10.190318,11.641666,2.588216,114509743
09-02-1996,12.408045,12.520335,11.849403,12.321021,2.739253,119682955
12-02-1996,12.065561,12.267683,11.45358,11.62763,2.585096,83759011
13-02-1996,11.56587,11.874668,11.358134,11.633244,2.586344,72385781
14-02-1996,12.071175,12.46419,11.846595,11.961693,2.659366,67257097
15-02-1996,11.67816,12.211538,11.593943,11.796065,2.622543,55699524
16-02-1996,11.734305,11.734305,11.481653,11.549027,2.567621,36118975
19-02-1996,11.67816,11.843788,11.56587,11.619208,2.583224,24685188
20-02-1996,11.619208,11.636052,11.018456,11.172855,2.483989,35231986
21-02-1996,11.172855,11.172855,11.172855,11.172855,2.483989,0
22-02-1996,11.425508,11.734305,11.425508,11.675353,2.595706,32953956
23-02-1996,11.650088,11.728691,11.442351,11.574292,2.573238,29080949
26-02-1996,11.624823,12.009416,11.588328,11.644473,2.58884,70008010
27-02-1996,11.666931,11.666931,11.369363,11.456388,2.547025,40272505
28-02-1996,11.734305,11.812908,11.543412,11.568678,2.57199,33926438
29-02-1996,11.48446,11.509725,10.709659,10.835985,2.409094,67024663
01-03-1996,10.97354,11.057758,10.757382,10.959504,2.436556,56079789
04-03-1996,10.948275,11.052143,10.77984,10.903359,2.424073,36523285
05-03-1996,10.903359,10.903359,10.903359,10.903359,2.424073,0
06-03-1996,10.976348,11.158819,10.937046,11.105481,2.469009,24779586
07-03-1996,11.150397,11.307603,10.976348,11.024071,2.450911,32271794
08-03-1996,10.948275,11.00442,10.821949,10.970733,2.439052,24870423
11-03-1996,10.807913,10.920203,10.642285,10.760189,2.392243,32018877
12-03-1996,10.77984,10.791069,9.828182,10.611405,2.359165,22942379
13-03-1996,10.751768,11.074602,10.678779,11.032493,2.452782,35833998
14-03-1996,11.032493,11.195313,10.880901,10.920203,2.427818,32372426
15-03-1996,10.906166,10.970733,10.653514,10.690008,2.37664,33239823
18-03-1996,10.583333,10.664743,10.21839,10.24927,2.278654,35009348
19-03-1996,10.221197,10.358753,9.600795,9.805724,2.180043,31957429
20-03-1996,9.805724,9.805724,9.805724,9.805724,2.180043,0
21-03-1996,10.134173,10.499115,10.134173,10.414898,2.315477,23555969
22-03-1996,10.316644,10.364367,10.063991,10.24927,2.278654,28958053
25-03-1996,10.386825,10.830371,10.367174,10.55526,2.346683,61991268
26-03-1996,10.558067,10.995998,10.52438,10.8416,2.410343,77170713
27-03-1996,11.11671,11.324447,11.040914,11.141976,2.477124,54386851
28-03-1996,11.172855,11.310411,11.172855,11.276724,2.507081,25451953
29-03-1996,11.229,11.318832,11.018456,11.077409,2.462769,28306169
01-04-1996,11.172855,11.273916,11.068987,11.220579,2.494599,30881643
02-04-1996,11.229,11.481653,11.172855,11.271109,2.505833,52862228
03-04-1996,11.56587,11.703426,11.45358,11.481653,2.552642,43350250
04-04-1996,11.383399,11.383399,11.214964,11.360941,2.525805,24455426
05-04-1996,11.360941,11.360941,11.360941,11.360941,2.525805,0
08-04-1996,11.776414,11.90274,11.624823,11.826945,2.629408,47640035
09-04-1996,12.006609,12.23961,11.905548,11.989765,2.665607,54842813
10-04-1996,12.12732,12.377166,12.12732,12.225574,2.718033,126390587
11-04-1996,12.12732,12.250839,12.04591,12.068368,2.683082,97557211
12-04-1996,12.071175,12.180658,12.01503,12.1582,2.703054,46672006
15-04-1996,12.295755,12.346286,12.085212,12.130128,2.696813,53248727
16-04-1996,12.12732,12.183465,11.930813,11.986958,2.664983,51807815
17-04-1996,12.186273,12.829133,12.186273,12.697192,2.822885,120385600
18-04-1996,13.02564,13.36251,12.91335,13.2811,2.952702,129424695
19-04-1996,13.25022,13.530945,13.081785,13.205304,2.93585,115258697
22-04-1996,13.334438,13.334438,12.747723,12.826326,2.851594,80399852
23-04-1996,12.716843,12.969495,12.582095,12.829133,2.852218,88033656
24-04-1996,13.418655,14.176613,13.418655,14.092395,3.133071,135019137
25-04-1996,14.26083,14.513483,13.25022,13.570247,3.016986,132106144
26-04-1996,13.643235,13.994142,13.224955,13.721838,3.050688,119479019
29-04-1996,13.615163,13.853779,13.418655,13.73026,3.05256,120564601
30-04-1996,13.755525,13.836936,13.36251,13.508487,3.003255,82247745
01-05-1996,13.929575,14.030636,13.733067,13.789212,3.065666,60056991
02-05-1996,13.69938,13.702188,13.452342,13.651657,3.035084,62482852
03-05-1996,13.4748,13.58709,13.309173,13.379354,2.974545,63368060
06-05-1996,13.053713,13.13793,12.649469,12.714036,2.82663,88039000
07-05-1996,12.744915,12.907736,12.357515,12.528757,2.785438,75104634
08-05-1996,12.295755,12.885278,12.23961,12.733686,2.830998,88525241
09-05-1996,12.548408,12.761759,12.309792,12.391202,2.754856,62128413
10-05-1996,12.180658,12.374358,12.073983,12.323828,2.739877,68122713
13-05-1996,12.46419,12.573673,12.357515,12.511914,2.781694,51900432
14-05-1996,12.497877,12.969495,12.408045,12.845976,2.855963,66364765
15-05-1996,13.303558,13.58709,13.067749,13.497258,3.000758,172815020
16-05-1996,13.81167,14.030636,13.713417,13.786405,3.065042,160284965
17-05-1996,13.533753,13.727453,13.488837,13.612356,3.026348,137923225
20-05-1996,13.36251,13.39339,13.109858,13.143545,2.922119,83541716
21-05-1996,13.039677,13.45515,13.028448,13.143545,2.922119,124559613
22-05-1996,13.25022,13.328823,13.196883,13.224955,2.940218,92985121
23-05-1996,13.194075,13.222148,13.107051,13.149159,2.923367,58672184
24-05-1996,13.25022,13.275486,13.166003,13.227762,2.940843,47408492
27-05-1996,13.151967,13.180039,12.874049,12.916158,2.871566,89967043
28-05-1996,12.775795,12.857205,12.539986,12.761759,2.83724,132615540
29-05-1996,13.02564,13.668501,13.02564,13.533753,3.008872,223285228
30-05-1996,13.643235,13.668501,13.194075,13.264257,2.948956,198662378
31-05-1996,13.713417,13.727453,13.483222,13.603934,3.024475,237043353
03-06-1996,13.808863,14.204685,13.724646,14.154155,3.146802,276972106
04-06-1996,14.331012,14.479796,13.952033,14.072745,3.128703,321297511
05-06-1996,14.204685,14.232758,13.81167,13.994142,3.111228,264354777
06-06-1996,14.199071,14.592086,14.199071,14.364699,3.193611,316624789
07-06-1996,14.207493,14.339433,14.120468,14.286096,3.176135,165994289
10-06-1996,14.319783,14.415229,14.154155,14.204685,3.158036,196523274
11-06-1996,14.120468,14.48541,13.845357,14.185035,3.153668,339058664
12-06-1996,14.401193,14.681918,14.387157,14.476989,3.218575,196297965
13-06-1996,14.401193,14.510676,14.32259,14.375928,3.196107,116421757
14-06-1996,14.454531,14.931763,14.429265,14.85316,3.302207,267570558
17-06-1996,14.934571,15.013174,14.656653,14.698761,3.267881,227599058
18-06-1996,14.5977,14.822281,14.513483,14.653845,3.257894,206522383
19-06-1996,14.822281,14.870004,14.457338,14.555592,3.23605,187622215
20-06-1996,14.429265,14.724027,14.375928,14.670689,3.261639,145069007
21-06-1996,14.549977,14.673496,14.092395,14.446109,3.21171,140230643
24-06-1996,14.32259,14.5977,14.218722,14.35347,3.191113,121238748
25-06-1996,14.370313,14.412422,13.81167,13.980105,3.108107,141301976
26-06-1996,14.03625,14.064323,13.755525,13.806056,3.069412,117371975
27-06-1996,13.73026,13.974491,13.626392,13.926768,3.096249,127573239
28-06-1996,13.789212,14.025021,13.615163,13.662886,3.037581,129283988
01-07-1996,13.61797,13.623585,13.365318,13.449535,2.990148,99303582
02-07-1996,13.4748,13.58709,13.13793,13.219341,2.938971,112382216
03-07-1996,13.039677,13.098629,12.806675,12.885278,2.864701,135289865
04-07-1996,12.809482,13.222148,12.660698,12.997568,2.889665,144279979
05-07-1996,13.078978,13.219341,12.871242,12.972303,2.884048,110356213
08-07-1996,13.194075,13.205304,12.916158,12.983532,2.886545,49718582
09-07-1996,12.966688,12.966688,12.23961,12.450154,2.767963,103955821
10-07-1996,12.3519,12.604553,12.183465,12.461383,2.770459,118561751
11-07-1996,12.520335,12.963881,12.520335,12.71965,2.827878,185369120
12-07-1996,12.649469,12.739301,12.391202,12.475419,2.773579,121187987
15-07-1996,12.354708,12.983532,12.295755,12.806675,2.847225,149170886
16-07-1996,12.91335,13.151967,12.242418,12.41366,2.759849,208768353
17-07-1996,12.295755,12.980724,12.295755,12.68877,2.821012,119790712
18-07-1996,12.772988,13.289522,12.772988,13.093014,2.910885,232398238
19-07-1996,13.163196,13.25022,12.78141,12.918965,2.87219,145490238
22-07-1996,12.660698,12.899314,12.410853,12.685963,2.820388,55590876
23-07-1996,12.742108,12.742108,11.355327,11.408664,2.536415,286435994
24-07-1996,11.088638,11.45358,10.471043,10.81072,2.403477,228483375
25-07-1996,10.807913,11.060565,10.673165,10.734924,2.386626,147512680
26-07-1996,10.611405,10.66755,10.277342,10.501922,2.334824,214922062
29-07-1996,10.55526,10.827563,10.39244,10.440163,2.321094,116786883
30-07-1996,10.358753,10.499115,9.99381,10.313837,2.293009,182400913
31-07-1996,10.518766,10.830371,10.21839,10.830371,2.407847,131101603
01-08-1996,11.285145,11.34129,10.619827,10.695623,2.37789,177699694
02-08-1996,10.723695,10.807913,10.521573,10.597369,2.356045,115698629
05-08-1996,10.77984,10.948275,10.501922,10.566489,2.349179,98966063
